id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,Naikon,intrusion-set,G0019,enterprise,,enterprise-attack,,0,29,29,0.013278388278388278,0.0,0.013278388278388278,0.0,0.0,1
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,Sowbug,intrusion-set,G0054,enterprise,,enterprise-attack,,0,11,11,0.005036630036630037,0.0,0.005036630036630037,0.0,0.0,0
intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,Mofang,intrusion-set,G0103,enterprise,,enterprise-attack,,0,8,8,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,0
campaign--e7511089-1076-4a3b-984d-1a0a8afe31e9,Quad7 Activity,campaign,C0055,enterprise,,enterprise-attack,,0,16,16,0.007326007326007326,0.0,0.007326007326007326,0.0,0.0,1
intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0,Machete,intrusion-set,G0095,enterprise,,enterprise-attack,,0,12,12,0.005494505494505494,0.0,0.005494505494505494,0.0,0.0,1
campaign--7e21077d-2589-43a7-a5f9-490061289526,HomeLand Justice,campaign,C0038,enterprise,,enterprise-attack,,0,32,32,0.014652014652014652,0.0,0.014652014652014652,0.0,0.0,1
campaign--9cea8bec-07c5-422b-84b8-99d3128ce570,Salesforce Data Exfiltration,campaign,C0059,enterprise,,enterprise-attack,,0,19,19,0.0086996336996337,0.0,0.0086996336996337,0.0,0.0,1
campaign--1a0576df-df21-4775-843e-844d8a58a94b,SharePoint ToolShell Exploitation,campaign,C0058,enterprise,,enterprise-attack,,0,39,39,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,1
campaign--ba6dfa37-f401-4140-88b0-8938f2895e61,C0017,campaign,C0017,enterprise,,enterprise-attack | mobile-attack,,0,35,35,0.016025641025641024,0.0,0.016025641025641024,0.0,0.0,1
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,FIN5,intrusion-set,G0053,enterprise,,enterprise-attack,,0,17,17,0.007783882783882784,0.0,0.007783882783882784,0.0,0.0,1
intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c,Winter Vivern,intrusion-set,G1035,enterprise,,enterprise-attack,,0,27,27,0.012362637362637362,0.0,0.012362637362637362,0.0,0.0,1
intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710,SideCopy,intrusion-set,G1008,enterprise,,enterprise-attack,,0,18,18,0.008241758241758242,0.0,0.008241758241758242,0.0,0.0,0
campaign--4c840263-bbda-440d-a22b-674679ddebf1,Operation Spalax,campaign,C0005,enterprise,,enterprise-attack,,0,19,19,0.0086996336996337,0.0,0.0086996336996337,0.0,0.0,1
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,APT33,intrusion-set,G0064,enterprise,,ics-attack | enterprise-attack,,0,50,50,0.022893772893772892,0.0,0.022893772893772892,0.0,0.0,1
campaign--37764c78-2a99-46d1-a7ea-6454b9bf93a0,Operation Sharpshooter,campaign,C0013,enterprise,,enterprise-attack,,0,14,14,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,1
campaign--4fdd2487-26c1-494e-8702-ec5abe9aa1d9,Cutting Edge,campaign,C0029,enterprise,,enterprise-attack,,0,42,42,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,1
intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7,Lotus Blossom,intrusion-set,G0030,enterprise,,enterprise-attack,,0,30,30,0.013736263736263736,0.0,0.013736263736263736,0.0,0.0,1
intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133,GOLD SOUTHFIELD,intrusion-set,G0115,enterprise,,enterprise-attack | ics-attack,,0,11,11,0.005036630036630037,0.0,0.005036630036630037,0.0,0.0,1
intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,Volatile Cedar,intrusion-set,G0123,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,1
intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de,Evilnum,intrusion-set,G0120,enterprise,,enterprise-attack,,0,14,14,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,1
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,Cleaver,intrusion-set,G0003,enterprise,,enterprise-attack,,0,9,9,0.004120879120879121,0.0,0.004120879120879121,0.0,0.0,1
