id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code
malware--039814a0-88de-46c5-a4fb-b293db21880a,Wiarp,malware,S0206,enterprise,Windows,enterprise-attack,,1,4,5,0.0028473804100227,0.0005694760820045,0.0022779043280182,0.0,0.0005694760820045,0,1,1,0,5,0,4
malware--03acae53-9b98-46f6-b204-16b930839055,RCSession,malware,S0662,enterprise,Windows,enterprise-attack,,2,22,24,0.0136674259681093,0.0011389521640091,0.0125284738041002,0.0,0.0011389521640091,0,1,1,0,9,0,4
malware--03ea629c-517a-41e3-94f8-c7e5368cf8f4,Spark,malware,S0543,enterprise,Windows,enterprise-attack,,1,10,11,0.0062642369020501,0.0005694760820045,0.0056947608200455,0.0,0.0005694760820045,0,1,1,0,5,0,4
malware--03eb4a05-6a02-43f6-afb7-3c7835501828,QuietSieve,malware,S0686,enterprise,Windows,enterprise-attack,,1,9,10,0.0056947608200455,0.0005694760820045,0.005125284738041,0.0,0.0005694760820045,0,1,1,0,10,0,4
malware--04227b24-7817-4de1-9050-b7b1b57f5866,SynAck,malware,S0242,enterprise,Windows,enterprise-attack,,0,14,14,0.0079726651480637,0.0,0.0079726651480637,0.0,0.0,0,1,1,0,6,0,4
malware--04378e79-4387-468a-a8f7-f974b8254e44,Bumblebee,malware,S1039,enterprise,Windows,enterprise-attack,,2,39,41,0.0233485193621867,0.0011389521640091,0.0222095671981776,0.0,0.0011389521640091,0,1,1,0,9,0,4
malware--049ff071-0b3c-4712-95d2-d21c6aa54501,MURKYTOP,malware,S0233,enterprise,Windows,enterprise-attack,,1,9,10,0.0056947608200455,0.0005694760820045,0.005125284738041,0.0,0.0005694760820045,1,1,1,0,8,0,4
malware--04cecafd-cb5f-4daf-aa1f-73899116c4a2,AcidRain,malware,S1125,enterprise,Network Devices | Linux,enterprise-attack,,1,4,5,0.0028473804100227,0.0005694760820045,0.0022779043280182,0.0,0.0005694760820045,0,2,1,0,8,0,4
malware--04fc1842-f9e4-47cf-8cb8-5c61becad142,GRIFFON,malware,S0417,enterprise,Windows,enterprise-attack,,1,8,9,0.005125284738041,0.0005694760820045,0.0045558086560364,0.0,0.0005694760820045,0,1,1,0,7,0,4
malware--051eaca1-958f-4091-9e5f-a9acd8f820b5,Exaramel for Windows,malware,S0343,enterprise,Windows,enterprise-attack,,1,8,9,0.005125284738041,0.0005694760820045,0.0045558086560364,0.0,0.0005694760820045,0,1,1,0,20,0,4
malware--05318127-5962-444b-b900-a9dcfe0ff6e9,Amadey,malware,S1025,enterprise,Windows,enterprise-attack,,2,17,19,0.0108200455580865,0.0011389521640091,0.0096810933940774,1.7293793413763043e-05,0.0011389521640091,0,1,1,0,6,0,4
malware--05489800-6c6f-4922-a0de-d573b333e612,JumbledPath,malware,S1206,enterprise,Network Devices,enterprise-attack,,1,6,7,0.0039863325740318,0.0005694760820045,0.0034168564920273,0.0,0.0005694760820045,1,1,1,0,11,0,4
malware--065196de-d7e8-4888-acfb-b2134022ba1b,RDFSNIFFER,malware,S0416,enterprise,Windows,enterprise-attack,,1,3,4,0.0022779043280182,0.0005694760820045,0.0017084282460136,0.0,0.0005694760820045,0,1,1,0,10,0,4
malware--0659f55c-3b68-4e5d-8071-12ded6684731,NICECURL,malware,S1192,enterprise,Windows,enterprise-attack,,1,5,6,0.0034168564920273,0.0005694760820045,0.0028473804100227,0.0,0.0005694760820045,3,1,1,0,8,0,4
malware--069af411-9b24-4e85-b26c-623d035bbe84,Proxysvc,malware,S0238,enterprise,Windows,enterprise-attack,,1,15,16,0.0091116173120728,0.0005694760820045,0.0085421412300683,0.0,0.0005694760820045,0,1,1,0,8,0,4
malware--06d735e7-1db1-4dbe-ab4b-acbe419f902b,Orz,malware,S0229,enterprise,Windows,enterprise-attack,,1,13,14,0.0079726651480637,0.0005694760820045,0.0074031890660592,0.0,0.0005694760820045,0,1,1,0,3,0,4
malware--0715560d-4299-4e84-9e20-6e80ab57e4f2,Torisma,malware,S0678,enterprise,Windows,enterprise-attack,,1,13,14,0.0079726651480637,0.0005694760820045,0.0074031890660592,0.0,0.0005694760820045,0,1,1,0,7,0,4
malware--071d5d65-83ec-4a55-acfa-be7d5f28ba9a,NOKKI,malware,S0353,enterprise,Windows,enterprise-attack,,1,16,17,0.0096810933940774,0.0005694760820045,0.0091116173120728,9.692125979141923e-06,0.0005694760820045,0,1,1,0,5,0,4
malware--0817aaf2-afea-4c32-9285-4dcd1df5bf14,yty,malware,S0248,enterprise,Windows,enterprise-attack,,0,15,15,0.0085421412300683,0.0,0.0085421412300683,0.0,0.0,0,1,1,0,3,0,4
malware--083bb47b-02c8-4423-81a2-f9ef58572974,Backdoor.Oldrea,malware,S0093,enterprise,Windows,enterprise-attack | ics-attack,,1,16,17,0.0096810933940774,0.0005694760820045,0.0091116173120728,0.0,0.0005694760820045,0,1,2,0,15,0,4
malware--0852567d-7958-4f4b-8947-4f840ec8d57d,DOGCALL,malware,S0213,enterprise,Windows,enterprise-attack,,1,6,7,0.0039863325740318,0.0005694760820045,0.0034168564920273,0.0,0.0005694760820045,0,1,1,0,7,0,4
malware--088f1d6e-0783-47c6-9923-9c79b2af43d4,Stuxnet,malware,S0603,enterprise,Windows,enterprise-attack | ics-attack,,0,44,44,0.0250569476082004,0.0,0.0250569476082004,0.0,0.0,0,1,2,0,7,0,4
malware--08d20cd2-f084-45ee-8558-fa6ef5a18519,Downdelph,malware,S0134,enterprise,Windows,enterprise-attack,,1,5,6,0.0034168564920273,0.0005694760820045,0.0028473804100227,0.0,0.0005694760820045,0,1,1,0,9,0,4
malware--08e844a8-371f-4fe3-9d1f-e056e64a7fde,RotaJakiro,malware,S1078,enterprise,Linux,enterprise-attack,,1,17,18,0.010250569476082,0.0005694760820045,0.0096810933940774,0.0,0.0005694760820045,0,1,1,0,10,0,4
malware--0945a1a5-a79a-47c8-9079-10c16cdfcb5d,AvosLocker,malware,S1053,enterprise,Linux | Windows,enterprise-attack,,1,15,16,0.0091116173120728,0.0005694760820045,0.0085421412300683,0.0,0.0005694760820045,0,2,1,0,10,0,4
malware--0998045d-f96e-4284-95ce-3c8219707486,SEASHARPEE,malware,S0185,enterprise,Windows,enterprise-attack,,1,4,5,0.0028473804100227,0.0005694760820045,0.0022779043280182,0.0,0.0005694760820045,0,1,1,0,10,0,4
malware--099ecff2-41b8-436d-843c-038a9aa9aa69,Get2,malware,S0460,enterprise,Windows,enterprise-attack,,1,6,7,0.0039863325740318,0.0005694760820045,0.0034168564920273,0.0,0.0005694760820045,0,1,1,0,4,0,4
malware--09b2cd76-c674-47cc-9f57-d2f2ad150a46,POWRUNER,malware,S0184,enterprise,Windows,enterprise-attack,,1,20,21,0.0119589977220956,0.0005694760820045,0.0113895216400911,0.0,0.0005694760820045,0,1,1,0,8,0,4
malware--09fcc02f-f9d4-43fa-8609-5e5e186b7103,KOPILUWAK,malware,S1075,enterprise,Windows,enterprise-attack,,2,13,15,0.0085421412300683,0.0011389521640091,0.0074031890660592,0.0,0.0011389521640091,2,1,1,0,9,0,4
malware--0a607c53-df52-45da-a75d-0e53df4dad5f,RobbinHood,malware,S0400,enterprise,Windows,enterprise-attack,,0,6,6,0.0034168564920273,0.0,0.0034168564920273,0.0,0.0,0,1,1,0,10,0,4
malware--0a615414-1dad-4131-802d-38f5d72ef852,MEDUSA,malware,S1220,enterprise,Linux,enterprise-attack,,2,4,6,0.0034168564920273,0.0011389521640091,0.0022779043280182,0.0,0.0011389521640091,3,1,1,0,6,0,4
malware--0a6ec267-83a9-41a5-98c7-57c3ff81e11f,VersaMem,malware,S1154,enterprise,Network Devices,enterprise-attack,,2,8,10,0.0056947608200455,0.0011389521640091,0.0045558086560364,0.0,0.0011389521640091,3,1,1,0,8,0,4
malware--0a9c51e0-825d-4b9b-969d-ce86ed8ce3c3,Power Loader,malware,S0177,enterprise,,enterprise-attack,,0,1,1,0.0005694760820045,0.0,0.0005694760820045,0.0,0.0,2,0,1,0,12,0,4
