id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
malware--4dea7d8e-af94-4bfb-afe4-7ff54f59308b,Conti,malware,S0575,enterprise,Windows,enterprise-attack,,2,16,18,0.0082417582417582,0.0009157509157509,0.0073260073260073,2.1387097658284105e-05,0.0009157509157509,0,1,0,-0.9328578136375252,1.2357991309894454
malware--4e385fa6-ebe0-43fc-9ccf-5b51b5dc4d79,Raspberry Robin,malware,S1130,enterprise,Windows,enterprise-attack,,0,41,41,0.0187728937728937,0.0,0.0187728937728937,0.0,0.0,0,1,0,-0.6453108987631365,2.7749160719231947
malware--4e6464d2-69df-4e56-8d4c-1973f84d7b80,Mispadu,malware,S1122,enterprise,Windows,enterprise-attack,,1,26,27,0.0123626373626373,0.0004578754578754,0.0119047619047619,0.0,0.0004578754578754,0,1,0,-0.8896038477162577,1.862447390672819
malware--4e6b9625-bbda-4d96-a652-b3bb45453f26,RemoteCMD,malware,S0166,enterprise,Windows,enterprise-attack,,1,3,4,0.0018315018315018,0.0004578754578754,0.0013736263736263,0.0,0.0004578754578754,1,1,0,-1.128823173324006,-0.0046373549786219
malware--4e762e29-3c56-4a2b-b205-c5890c0856ed,Megazord,malware,S1191,enterprise,Windows,enterprise-attack,,1,6,7,0.0032051282051282,0.0004578754578754,0.0027472527472527,0.0,0.0004578754578754,0,1,0,-1.100870761695577,0.2704417321926238
malware--4e9bdf9a-4957-47f6-87b3-c76898d3f623,Diavol,malware,S0659,enterprise,Windows,enterprise-attack,,1,19,20,0.0091575091575091,0.0004578754578754,0.0086996336996337,0.0,0.0004578754578754,0,1,0,-0.985999400827756,1.3451499317723092
malware--4ea492ee-36f8-4017-938f-d01ce951ef94,REPTILE,malware,S1219,enterprise,Linux,enterprise-attack,,2,11,13,0.0059523809523809,0.0009157509157509,0.00503663003663,0.0,0.0009157509157509,3,1,0,-1.0320438268994354,0.6800479627113202
malware--4efc3e00-72f2-466a-ab7c-8a7dc6603b19,Raindrop,malware,S0565,enterprise,Windows,enterprise-attack,,2,7,9,0.0041208791208791,0.0009157509157509,0.0032051282051282,0.0,0.0009157509157509,0,1,0,-1.02979553329866,0.3714592149156547
malware--4f1c389e-a80e-4a3e-9b0e-9be8c91df64f,Doki,malware,S0600,enterprise,Linux | Containers,enterprise-attack,,0,14,14,0.0064102564102564,0.0,0.0064102564102564,0.0,0.0,0,1,0,-0.986766762750938,0.8684379821792687
malware--4f6aa78c-c3d4-4883-9840-96ca2f5d6d47,TEXTMATE,malware,S0146,enterprise,Windows,enterprise-attack,,1,2,3,0.0013736263736263,0.0004578754578754,0.0009157509157509,0.0,0.0004578754578754,0,1,0,-1.1464503864497746,-0.0420476185304425
malware--4fbd565b-bf55-4ac7-80b4-b183a7b64b9c,Siloscape,malware,S0623,enterprise,Windows | Containers,enterprise-attack,,0,14,14,0.0064102564102564,0.0,0.0064102564102564,0.0,0.0,1,1,0,-0.9140096166470943,0.7094902885908956
malware--50c44c34-3abb-48ae-9433-a2337de5b0bc,BlackCat,malware,S1068,enterprise,Linux | Windows,enterprise-attack,,1,21,22,0.01007326007326,0.0004578754578754,0.0096153846153846,0.0,0.0004578754578754,1,1,0,-0.7911961609105461,1.30880070226338
malware--50d6688b-0985-4f3d-8cbe-0c796b30703b,Fysbis,malware,S0410,enterprise,Linux,enterprise-attack,,1,12,13,0.0059523809523809,0.0004578754578754,0.0054945054945054,0.0,0.0004578754578754,0,1,0,-1.0657637441475971,0.7982935680069355
malware--5147ef15-1cae-4707-8ea1-bee8d98b7f1d,IcedID,malware,S0483,enterprise,Windows,enterprise-attack,,3,31,34,0.0155677655677655,0.0013736263736263,0.0141941391941391,0.0,0.0013736263736263,0,1,0,-0.7298998821484356,2.3284082740260272
malware--5189f018-fea2-45d7-b0ed-23f9ee0a46f3,VERMIN,malware,S0257,enterprise,Windows,enterprise-attack,,0,17,17,0.0077838827838827,0.0,0.0077838827838827,0.0,0.0,0,1,0,-1.0684695354132174,1.1660101113685086
malware--518bb5f1-91f4-4ff2-b09d-5a94e1ebe95f,UBoatRAT,malware,S0333,enterprise,Windows,enterprise-attack,,0,8,8,0.0036630036630036,0.0,0.0036630036630036,0.0,0.0,0,1,0,-1.1377612715268444,0.4037912625118942
malware--51f78dfc-52f9-424e-8753-bb4246188313,Nightdoor,malware,S1147,enterprise,Windows,enterprise-attack,,1,14,15,0.0068681318681318,0.0004578754578754,0.0064102564102564,0.0,0.0004578754578754,0,1,0,-0.9930803023955316,0.8658615287739018
malware--532c6004-b1e8-415b-9516-f7c14ba783b1,MarkiRAT,malware,S0652,enterprise,Windows,enterprise-attack,,1,22,23,0.0105311355311355,0.0004578754578754,0.01007326007326,0.0,0.0004578754578754,0,1,0,-0.9185522626787952,1.5203991350848902
malware--53486bc7-7748-4716-8190-e4f1fde04c53,PowerShower,malware,S0441,enterprise,Windows,enterprise-attack,,1,14,15,0.0068681318681318,0.0004578754578754,0.0064102564102564,0.0,0.0004578754578754,0,1,0,-0.9598178828122188,0.8067437190441867
malware--536be338-e2ef-4a6b-afb6-8d5568b91eb2,Kazuar,malware,S0265,enterprise,Windows | macOS,enterprise-attack,,1,31,32,0.0146520146520146,0.0004578754578754,0.0141941391941391,0.0,0.0004578754578754,0,1,0,-0.7001106157539303,2.160295058064844
malware--53a42597-1974-4b8e-84fd-3675e8992053,NavRAT,malware,S0247,enterprise,Windows,enterprise-attack,,1,9,10,0.0045787545787545,0.0004578754578754,0.0041208791208791,0.0,0.0004578754578754,0,1,0,-1.0999484627132452,0.5639265549646395
