id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073,Bypass User Account Control,attack-pattern,T1548.002,enterprise,Windows,enterprise-attack,privilege-escalation | defense-evasion,65,1,66,0.0375854214123006,0.0370159453302961,0.0005694760820045,5.131125518369255e-05,0.0506278126562586,0,2,1,4.048900198929638,-0.6060869752215052
attack-pattern--130d4494-b2d6-4040-bcea-6e59f05222fe,SMS Pumping,attack-pattern,T1496.003,enterprise,SaaS,enterprise-attack,impact,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,5.7012505759658385e-06,0.0005694760820045,3,2,0,-0.3787592646611043,-1.5256063957156782
attack-pattern--132d5b37-aac5-4378-a8dc-3127b18a73dc,Internet Connection Discovery,attack-pattern,T1016.001,enterprise,Windows | Linux | macOS | ESXi,enterprise-attack,discovery,26,1,27,0.015375854214123,0.0148063781321184,0.0005694760820045,5.7012505759658385e-06,0.0162419324221716,1,2,0,1.7985696594645109,-1.7601565051807095
attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,Sudo and Sudo Caching,attack-pattern,T1548.003,enterprise,Linux | macOS,enterprise-attack,privilege-escalation | defense-evasion,6,1,7,0.0039863325740318,0.0034168564920273,0.0005694760820045,5.7012505759658385e-06,0.0125959117611797,0,2,0,0.7190213797523183,-2.1191063500092886
attack-pattern--143c0cbb-a297-4142-9624-87ffc778980b,Archive via Custom Method,attack-pattern,T1560.003,enterprise,Linux | macOS | Windows,enterprise-attack,collection,39,1,40,0.0227790432801822,0.0222095671981776,0.0005694760820045,2.014441870174597e-05,0.0253100480890913,0,2,0,2.35294143339336,-1.0885369570508052
attack-pattern--144e007b-e638-431d-a894-45d90c54ab90,Modify Cloud Compute Infrastructure,attack-pattern,T1578,enterprise,IaaS,enterprise-attack,defense-evasion,7,0,7,0.0039863325740318,0.0039863325740318,0.0,0.0,0.0048237974005091,1,2,0,0.4396345696606184,-2.050770354543691
attack-pattern--149b477f-f364-4824-b1b5-aa1d56115869,Network Devices,attack-pattern,T1584.008,enterprise,PRE,enterprise-attack,resource-development,10,1,11,0.0062642369020501,0.0056947608200455,0.0005694760820045,2.8506252879829193e-06,0.0056947608200455,1,2,0,0.2013984303493005,-1.3224597904171411
attack-pattern--155207c0-7f53-4f13-a06b-0a9907ef5096,Malvertising,attack-pattern,T1583.008,enterprise,PRE,enterprise-attack,resource-development,3,1,4,0.0022779043280182,0.0017084282460136,0.0005694760820045,0.0,0.0017084282460136,1,2,0,-0.2399259258006915,-1.4093908942968272
attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce,Permission Groups Discovery,attack-pattern,T1069,enterprise,Containers | IaaS | Identity Provider | Linux | macOS | Office Suite | SaaS | Windows,enterprise-attack,discovery,16,0,16,0.0091116173120728,0.0091116173120728,0.0,0.0,0.0323435204117331,1,2,0,2.150463074232825,-2.540479559538435
attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,Email Collection,attack-pattern,T1114,enterprise,Windows | macOS | Linux | Office Suite,enterprise-attack,collection,13,0,13,0.0074031890660592,0.0074031890660592,0.0,0.0,0.0187629341789867,1,2,0,0.9917859824693632,-1.7581193888128153
attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,Security Account Manager,attack-pattern,T1003.002,enterprise,Windows,enterprise-attack,credential-access,37,1,38,0.0216400911161731,0.0210706150341685,0.0005694760820045,1.8529064371888975e-05,0.0376538830177875,1,2,0,2.1497852591869826,-0.860259913203293
attack-pattern--166de1c6-2814-4fe5-8438-4e80f76b169f,WHOIS,attack-pattern,T1596.002,enterprise,PRE,enterprise-attack,reconnaissance,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,1,2,0,-0.4863333761782232,-1.2538694646682895
attack-pattern--16ab6452-c3c1-497c-a47d-206018ca1ada,System Firmware,attack-pattern,T1542.001,enterprise,Windows | Network Devices,enterprise-attack,persistence | defense-evasion,6,1,7,0.0039863325740318,0.0034168564920273,0.0005694760820045,0.0,0.0034880410022779,1,2,0,0.4120140352856276,-2.043712842961534
