id,type,source,target,dataset
relationship--33215dfa-53d0-4bd7-a15d-cec9315c7c4d,mitigates,course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,attack-pattern--f8df6b57-14bc-425f-9a91-6f59f6799307,ics
relationship--33486e89-f0f4-4507-9f13-48a8f22c8ac8,mitigates,course-of-action--5d97c693-e054-48ba-a3a3-eaf6942dfb65,attack-pattern--8bb4538f-f16f-49f0-a431-70b5444c7349,ics
relationship--337f366d-3d76-470c-8ee2-0e2252648282,mitigates,course-of-action--4fa717d9-cabe-47c8-8cdd-86e9e2e37f30,attack-pattern--1c5cf58c-a34a-40d7-82f4-f987cdfc2b91,ics
relationship--3478c49c-594b-4224-b7f9-2b0b09c67288,mitigates,course-of-action--7f153c28-e5f1-4764-88fb-eea1d9b0ad4a,attack-pattern--0fe075d5-beac-4d02-b93e-0f874997db72,ics
relationship--34ac1b1b-1103-4fc9-a62e-f1dd1451b28b,mitigates,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,attack-pattern--fc5fda7e-6b2c-4457-b036-759896a2efa2,ics
relationship--34d4101b-b4c9-4ea3-a84d-81e84e7f5033,mitigates,course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,attack-pattern--38213338-1aab-479d-949b-c81b66ccca5c,ics
relationship--350814da-5c36-42f9-8e58-8f9534e6ce0a,uses,malware--80099a91-4c86-4bea-9ccb-dac55d61960e,attack-pattern--ba203963-3182-41ac-af14-7e7ebc83cd61,ics
relationship--351e19c4-c16e-493a-9800-a433107aacf1,uses,malware--80099a91-4c86-4bea-9ccb-dac55d61960e,attack-pattern--d5a69cfb-fc2a-46cb-99eb-74b236db5061,ics
relationship--352ed52c-88ba-4731-a917-4c33da0f29d4,uses,campaign--46421788-b6e1-4256-b351-f8beffd1afba,attack-pattern--e1f9cdd2-9511-4fca-90d7-f3e92cfdd0bf,ics
relationship--35cf6922-d48f-42ea-b7f5-f0258892bd52,mitigates,course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,attack-pattern--9a505987-ab05-4f46-a9a6-6441442eec3b,ics
relationship--3618a010-b94b-4974-b1be-7630d5c853c1,uses,intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--648f995e-9c3a-41e4-aeee-98bb41037426,ics
relationship--366a4cd1-aa95-4985-9d80-b45a2551e298,mitigates,course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,ics
relationship--383e242a-72d4-4b40-8905-888595c34919,uses,malware--a020a61c-423f-4195-8c46-ba1d21abba37,attack-pattern--63b6942d-8359-4506-bfb3-cf87aa8120ee,ics
relationship--3a04717f-b74c-4096-b031-ee7115fdc3c9,uses,campaign--45a98f02-852f-49b2-94c0-c63207bebbbf,attack-pattern--24a9253e-8948-4c98-b751-8e2aee53127c,ics
relationship--3a6cd53d-0d4e-4cf8-8edf-f9ebde4faac4,mitigates,course-of-action--66cfe23e-34b6-4583-b178-ed6a412db2b0,attack-pattern--25dfc8ad-bd73-4dfd-84a9-3c3d383f76e9,ics
relationship--3a7d1db3-9383-4171-8938-382e9b0375c6,uses,malware--54cc1d4f-5c53-4f0e-9ef5-11b4998e82e4,attack-pattern--e076cca8-2f08-45c9-aff7-ea5ac798b387,ics
relationship--3ab912a4-70aa-45f8-b2ef-57113dde2cfa,mitigates,course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,attack-pattern--2877063e-1851-48d2-bcc6-bc1d2733157e,ics
relationship--3b6567a9-6213-4db4-a069-1a86b1098b63,mitigates,course-of-action--49363b74-d506-4342-bd63-320586ebadb9,attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618,ics
