id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code,cluster_id,anomaly_score,is_anomaly,pca_x,pca_y
malware--6a0d0ea9-b2c4-43fe-a552-ac41a3009dc5,Industroyer2,malware,S1072,ics,Field Controller/RTU/PLC/IED | Engineering Workstation,ics-attack | enterprise-attack,,1,7,8,0.0421052631578947,0.0052631578947368,0.0368421052631578,0.0,0.0052631578947368,2,2,2,0,12,0,4,2,1,0,-2.866055559699394,1.2230737612156504
malware--75ecdbf1-c2bb-4afc-a3f9-c8da4de8c661,WannaCry,malware,S0366,ics,Windows,enterprise-attack | ics-attack,,1,2,3,0.0157894736842105,0.0052631578947368,0.0105263157894736,0.0,0.0052631578947368,1,1,2,0,8,0,4,2,1,0,-2.2488943542603095,-0.719164262956411
malware--80099a91-4c86-4bea-9ccb-dac55d61960e,Triton,malware,S1009,ics,,ics-attack,,2,18,20,0.1052631578947368,0.0105263157894736,0.0947368421052631,0.0,0.0105263157894736,0,0,1,0,6,0,4,0,-1,1,-2.053541991058458,4.82769535653263
malware--931e2489-8078-4f9f-85b2-a9211950e75b,Fuxnet,malware,S1157,ics,Input/Output Server | Control Server,ics-attack,,0,6,6,0.031578947368421,0.0,0.031578947368421,0.0,0.0,2,2,1,0,6,0,4,2,1,0,-2.68282982357507,0.4484701720285038
malware--a020a61c-423f-4195-8c46-ba1d21abba37,Ryuk,malware,S0446,ics,Windows,enterprise-attack | ics-attack,,2,1,3,0.0157894736842105,0.0105263157894736,0.0052631578947368,0.0,0.0105263157894736,3,1,2,0,4,0,4,2,1,0,-1.9726894361375629,-0.964707619369672
malware--a4a98eab-b691-45d9-8c48-869ef8fefd57,ACAD/Medre.A,malware,S1000,ics,,ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,0,0,1,0,12,0,4,2,1,0,-1.6654054354831989,-1.2683482540378612
malware--ac61f1f9-7bb1-465e-9b8a-c2ce8e88baf5,REvil,malware,S0496,ics,Windows,enterprise-attack | ics-attack,,2,8,10,0.0526315789473684,0.0105263157894736,0.0421052631578947,0.0,0.0105263157894736,1,1,2,0,5,0,4,2,1,0,-2.3212005344844306,1.628574225521723
malware--b34df04a-9d30-4d84-a03f-0d536ee19a05,FrostyGoop,malware,S1165,ics,Control Server | Field Controller/RTU/PLC/IED,ics-attack,,1,5,6,0.031578947368421,0.0052631578947368,0.0263157894736842,0.0002127541074909,0.0052631578947368,2,2,1,0,10,0,4,2,1,0,-2.424487487892437,0.8188507600598816
malware--d3aa1058-b1b3-4c29-a3ba-9a9b90ccd93b,INCONTROLLER,malware,S1045,ics,Field Controller/RTU/PLC/IED | Safety Instrumented System/Protection Relay | Engineering Workstation | Windows,ics-attack,,0,17,17,0.0894736842105263,0.0,0.0894736842105263,0.0,0.0,2,4,1,0,12,0,4,0,-1,1,-3.93217452651763,4.811062185159171
malware--e221eb77-1502-4129-af1d-fe1ad55e7ec6,KillDisk,malware,S0607,ics,Linux | Windows,enterprise-attack | ics-attack,,3,4,7,0.0368421052631578,0.0157894736842105,0.0210526315789473,0.0002127541074909,0.0157894736842105,2,2,2,0,8,0,4,2,-1,1,-2.2459668246669264,1.1161996876908498
malware--e401d4fe-f0c9-44f0-98e6-f93487678808,Industroyer,malware,S0604,ics,Windows,enterprise-attack | ics-attack,,2,24,26,0.1368421052631579,0.0105263157894736,0.1263157894736842,0.0012233361180729,0.0105263157894736,2,1,2,0,11,0,4,0,-1,1,-4.241080405647699,9.722035256180492
malware--ff6840c9-4c87-4d07-bbb6-9f50aa33d498,Flame,malware,S0143,ics,Windows,enterprise-attack | ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,0,1,2,0,5,0,4,2,1,0,-2.571940899048113,-0.9259255306275852
x-mitre-tactic--298fe907-7931-4fd2-8131-2814dd493134,Inhibit Response Function,x-mitre-tactic,TA0107,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,1,0,25,0,5,2,1,0,-1.8620671253874257,-2.4228404258750897
x-mitre-tactic--33752ae7-f875-4f43-bdb6-d8d02d341046,Privilege Escalation,x-mitre-tactic,TA0111,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,8,0,1,0,20,0,5,2,1,0,-1.948591476562204,-2.5154594384336226
x-mitre-tactic--51c25a9e-8615-40c0-8afd-1da578847924,Lateral Movement,x-mitre-tactic,TA0109,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,1,0,16,0,5,2,1,0,-2.0245166656009665,-2.6033064744309815
x-mitre-tactic--696af733-728e-49d7-8261-75fdc590f453,Discovery,x-mitre-tactic,TA0102,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,10,0,1,0,9,0,5,2,1,0,-2.1322393410477773,-2.7054694401118606
